#MB	microseconds

4	46472
4	43314
4	43389
4	43307
4	43424
4	43317
4	43400
4	43355
4	43371
4	43321
4	43424
4	43191
4	43495
4	43098
4	43425
4	43379


8	50980
8	47085
8	46933
8	47029
8	46996
8	47050
8	51024
8	47070
8	46983
8	47029
8	50837
8	47248
8	47029
8	46977
8	47053
8	47069


16	49776
16	50101
16	50198
16	49936
16	50029
16	50008
16	50161
16	54143
16	49934
16	49860
16	50360
16	50094
16	50059
16	50065
16	50047
16	50185


32	71166
32	70602
32	70228
32	71512
32	67947
32	68743
32	72081
32	72172
32	71939
32	68332
32	72265
32	72132
32	71681
32	68627
32	72211
32	72068


64	53508
64	53739
64	53934
64	56410
64	53710
64	54994
64	53973
64	53345
64	53933
64	53612
64	53660
64	53769
64	54228
64	54228
64	53528
64	53175


128	104512
128	104227
128	103888
128	104568
128	104761
128	104574
128	103663
128	104526
128	104189
128	104209
128	109841
128	104241
128	104059
128	104796
128	103609
128	104495


256	205207
256	205130
256	206640
256	205487
256	205490
256	203558
256	205505
256	205654
256	205568
256	206582
256	205795
256	205772
256	205622
256	203449
256	206749
256	205995


512	408008
512	412653
512	408564
512	408141
512	405784
512	409829
512	407893
512	407281
512	413092
512	408124
512	409048
512	407972
512	404858
512	408185
512	408800
512	408644


