#MB	microseconds

4	46946
4	47380
4	43392
4	47404
4	47400
4	47380
4	43393
4	43366
4	43394
4	47398
4	47395
4	43398
4	43399
4	43398
4	43386
4	47392


8	47050
8	47045
8	47033
8	47040
8	47047
8	47043
8	51039
8	47034
8	51042
8	47043
8	51047
8	47030
8	51044
8	47039
8	51045
8	47033


16	54121
16	54134
16	58021
16	58118
16	54109
16	54114
16	54119
16	58114
16	54141
16	54033
16	54111
16	58108
16	58115
16	54094
16	54077
16	54109


32	72274
32	72274
32	76240
32	72262
32	72262
32	72256
32	72286
32	72256
32	72244
32	76250
32	72262
32	72174
32	72237
32	72260
32	72260
32	76215


64	104534
64	104530
64	100536
64	104514
64	100534
64	104535
64	100519
64	104514
64	100579
64	104537
64	100533
64	100522
64	100544
64	100535
64	100537
64	104535


128	161813
128	165031
128	165004
128	165067
128	165062
128	164948
128	165050
128	160948
128	165043
128	165038
128	165025
128	169051
128	165024
128	165048
128	164969
128	165072


256	290859
256	290079
256	286048
256	286042
256	286013
256	286054
256	286034
256	286022
256	286022
256	290048
256	286076
256	286121
256	285988
256	286089
256	286033
256	286053


512	536090
512	537515
512	536099
512	534737
512	531364
512	531739
512	537326
512	537425
512	536485
512	536526
512	534739
512	537550
512	532240
512	535275
512	536732
512	532735


