#MB	microseconds

4	44387
4	46686
4	46784
4	46651
4	50840
4	46706
4	46874
4	46697
4	46904
4	50671
4	46948
4	50689
4	46924
4	46757
4	46887
4	46686


8	50101
8	50089
8	49992
8	51210
8	48906
8	50073
8	50034
8	50085
8	50057
8	54057
8	49855
8	50194
8	50087
8	54039
8	49904
8	54162


16	60189
16	56339
16	55936
16	60011
16	56303
16	56131
16	56252
16	56152
16	56171
16	56284
16	57774
16	54039
16	56172
16	56201
16	56241
16	60109


32	80314
32	80486
32	80290
32	80297
32	80283
32	80428
32	84341
32	84433
32	80361
32	80702
32	84012
32	80422
32	85459
32	83289
32	84380
32	84280


64	79261
64	79557
64	79494
64	79649
64	79146
64	79537
64	79603
64	79180
64	79629
64	79249
64	79241
64	79515
64	82524
64	79863
64	79852
64	80889


128	156949
128	161581
128	155495
128	156877
128	159391
128	162430
128	156979
128	156597
128	156233
128	156353
128	156065
128	156030
128	156083
128	156910
128	156452
128	156571


256	309444
256	306678
256	308901
256	307476
256	312165
256	308485
256	311049
256	308303
256	312079
256	307021
256	309738
256	309965
256	309337
256	312569
256	306763
256	311302


512	603247
512	603061
512	613380
512	606997
512	606053
512	609490
512	603193
512	607934
512	603828
512	616991
512	604398
512	602381
512	602933
512	601967
512	608578
512	602889


