#MB	microseconds

4	49822
4	46879
4	46886
4	46898
4	46791
4	46793
4	46806
4	46817
4	46795
4	46836
4	46785
4	46801
4	46758
4	46796
4	46791
4	46838


8	54098
8	54063
8	53949
8	54109
8	53967
8	54120
8	53923
8	54069
8	53949
8	54069
8	54006
8	54088
8	54056
8	54120
8	54036
8	54063


16	64246
16	64272
16	64235
16	64268
16	64199
16	64215
16	64213
16	64202
16	68067
16	64227
16	64267
16	64234
16	64264
16	64229
16	64232
16	64229


32	92472
32	92386
32	96498
32	96446
32	96454
32	92462
32	92440
32	92464
32	96311
32	96399
32	92443
32	92440
32	96456
32	92450
32	92420
32	92435


64	140974
64	148787
64	140775
64	144772
64	148628
64	148792
64	144771
64	144706
64	144758
64	144785
64	144792
64	148783
64	144925
64	144778
64	148677
64	148791


128	231194
128	236058
128	236147
128	233009
128	232954
128	236808
128	237246
128	232985
128	233013
128	236986
128	232807
128	237097
128	236900
128	233290
128	232781
128	233050


256	405496
256	404145
256	412115
256	411136
256	404855
256	408679
256	404098
256	407817
256	405810
256	412907
256	405231
256	404772
256	414524
256	405141
256	405776
256	406391


512	816083
512	810028
512	806924
512	816650
512	810179
512	813935
512	812126
512	817338
512	813108
512	809704
512	814332
512	808724
512	816285
512	812609
512	818934
512	811199


